gene_id,symbol,name
ENSG00000000003,TSPAN6,tetraspanin 6
ENSG00000000419,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
ENSG00000000457,SCYL3,SCY1 like pseudokinase 3
ENSG00000000460,FIRRM,FIGNL1 interacting regulator of recombination and mitosis
ENSG00000000938,FGR,"FGR proto-oncogene, Src family tyrosine kinase"
ENSG00000000971,CFH,complement factor H
ENSG00000001036,FUCA2,alpha-L-fucosidase 2
ENSG00000001084,GCLC,glutamate-cysteine ligase catalytic subunit
ENSG00000001167,NFYA,nuclear transcription factor Y subunit alpha
ENSG00000001460,STPG1,sperm tail PG-rich repeat containing 1
ENSG00000001461,NIPAL3,NIPA like domain containing 3
ENSG00000001497,LAS1L,LAS1 like ribosome biogenesis factor
ENSG00000001561,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617,SEMA3F,semaphorin 3F
ENSG00000001626,CFTR,CF transmembrane conductance regulator
ENSG00000001629,ANKIB1,ankyrin repeat and IBR domain containing 1
ENSG00000001630,CYP51A1,cytochrome P450 family 51 subfamily A member 1
ENSG00000001631,KRIT1,KRIT1 ankyrin repeat containing
ENSG00000002016,RAD52,RAD52 DNA repair protein
ENSG00000002330,BAD,BCL2 associated agonist of cell death
ENSG00000002549,LAP3,leucine aminopeptidase 3
ENSG00000002586,CD99,CD99 molecule (Xg blood group)
ENSG00000002587,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002726,AOC1,amine oxidase copper containing 1
ENSG00000002746,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
ENSG00000002822,MAD1L1,mitotic arrest deficient 1 like 1
ENSG00000002834,LASP1,LIM and SH3 protein 1
ENSG00000002919,SNX11,sorting nexin 11
ENSG00000003056,M6PR,"mannose-6-phosphate receptor, cation dependent"
ENSG00000003096,KLHL13,kelch like family member 13
ENSG00000003137,CYP26B1,cytochrome P450 family 26 subfamily B member 1
ENSG00000003147,ICA1,islet cell autoantigen 1
ENSG00000003249,DBNDD1,dysbindin domain containing 1
ENSG00000003393,ALS2,alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400,CASP10,caspase 10
ENSG00000003402,CFLAR,CASP8 and FADD like apoptosis regulator
ENSG00000003436,TFPI,tissue factor pathway inhibitor
ENSG00000003509,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756,RBM5,RNA binding motif protein 5
ENSG00000003987,MTMR7,myotubularin related protein 7
ENSG00000003989,SLC7A2,solute carrier family 7 member 2
ENSG00000004059,ARF5,ARF GTPase 5
ENSG00000004139,SARM1,sterile alpha and TIR motif containing 1
ENSG00000004142,POLDIP2,DNA polymerase delta interacting protein 2
ENSG00000004399,PLXND1,plexin D1
ENSG00000004455,AK2,adenylate kinase 2
ENSG00000004468,CD38,CD38 molecule
ENSG00000004478,FKBP4,FKBP prolyl isomerase 4
ENSG00000004487,KDM1A,lysine demethylase 1A
ENSG00000004534,RBM6,RNA binding motif protein 6
ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700,RECQL,RecQ like helicase
ENSG00000004766,VPS50,VPS50 subunit of EARP/GARPII complex
ENSG00000004776,HSPB6,heat shock protein family B (small) member 6
ENSG00000004777,ARHGAP33,Rho GTPase activating protein 33
ENSG00000004779,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799,PDK4,pyruvate dehydrogenase kinase 4
ENSG00000004838,ZMYND10,zinc finger MYND-type containing 10
ENSG00000004846,ABCB5,ATP binding cassette subfamily B member 5
ENSG00000004848,ARX,aristaless related homeobox
ENSG00000004864,SLC25A13,solute carrier family 25 member 13
ENSG00000004866,ST7,suppression of tumorigenicity 7
ENSG00000004897,CDC27,cell division cycle 27
ENSG00000004939,SLC4A1,solute carrier family 4 member 1 (Diego blood group)
ENSG00000004948,CALCR,calcitonin receptor
ENSG00000004961,HCCS,holocytochrome c synthase
ENSG00000004975,DVL2,dishevelled segment polarity protein 2
ENSG00000005001,PRSS22,serine protease 22
ENSG00000005007,UPF1,UPF1 RNA helicase and ATPase
ENSG00000005020,SKAP2,src kinase associated phosphoprotein 2
ENSG00000005022,SLC25A5,solute carrier family 25 member 5
ENSG00000005059,MCUB,mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005073,HOXA11,homeobox A11
ENSG00000005075,POLR2J,RNA polymerase II subunit J
ENSG00000005100,DHX33,DEAH-box helicase 33
ENSG00000005108,THSD7A,thrombospondin type 1 domain containing 7A
ENSG00000005156,LIG3,DNA ligase 3
ENSG00000005175,RPAP3,RNA polymerase II associated protein 3
ENSG00000005187,ACSM3,acyl-CoA synthetase medium chain family member 3
ENSG00000005189,REXO5,RNA exonuclease 5
ENSG00000005194,CIAPIN1,cytokine induced apoptosis inhibitor 1
ENSG00000005206,SPPL2B,signal peptide peptidase like 2B
ENSG00000005238,ATOSB,atos homolog B
ENSG00000005243,COPZ2,coat protein complex I subunit zeta 2
ENSG00000005249,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302,MSL3,MSL complex subunit 3
ENSG00000005339,CREBBP,CREB binding lysine acetyltransferase
ENSG00000005379,TSPOAP1,TSPO associated protein 1
ENSG00000005381,MPO,myeloperoxidase
ENSG00000005421,PON1,paraoxonase 1
ENSG00000005436,GCFC2,GC-rich sequence DNA-binding factor 2
ENSG00000005448,WDR54,WD repeat domain 54
ENSG00000005469,CROT,carnitine O-octanoyltransferase
ENSG00000005471,ABCB4,ATP binding cassette subfamily B member 4
ENSG00000005483,KMT2E,lysine methyltransferase 2E (inactive)
ENSG00000005486,RHBDD2,rhomboid domain containing 2
ENSG00000005513,SOX8,SRY-box transcription factor 8
ENSG00000005700,IBTK,inhibitor of Bruton tyrosine kinase
ENSG00000005801,ZNF195,zinc finger protein 195
ENSG00000005810,MYCBP2,MYC binding protein 2
ENSG00000005812,FBXL3,F-box and leucine rich repeat protein 3
ENSG00000005844,ITGAL,integrin subunit alpha L
ENSG00000005882,PDK2,pyruvate dehydrogenase kinase 2
ENSG00000005884,ITGA3,integrin subunit alpha 3
ENSG00000005889,ZFX,zinc finger protein X-linked
ENSG00000005893,LAMP2,lysosome associated membrane protein 2
ENSG00000005961,ITGA2B,integrin subunit alpha 2b
ENSG00000005981,ASB4,ankyrin repeat and SOCS box containing 4
ENSG00000006007,GDE1,glycerophosphodiester phosphodiesterase 1
ENSG00000006015,REX1BD,required for excision 1-B domain containing
ENSG00000006016,CRLF1,cytokine receptor like factor 1
ENSG00000006025,OSBPL7,oxysterol binding protein like 7
ENSG00000006042,TMEM98,transmembrane protein 98
ENSG00000006047,YBX2,Y-box binding protein 2
ENSG00000006059,KRT33A,keratin 33A
ENSG00000006062,MAP3K14,mitogen-activated protein kinase kinase kinase 14
ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8
