Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR36108971	SRR36108971.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69607880.0	3.5 Gbp	0.0	51.0	51.0	33.39231438258762	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108972	SRR36108972.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97959010.0	4.9 Gbp	0.0	51.0	50.0	29.79919868058671	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108973	SRR36108973.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91094136.0	4.6 Gbp	0.0	51.0	51.0	31.754457234935597	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108974	SRR36108974.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67749602.0	3.4 Gbp	0.0	51.0	51.0	32.50449890572508	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108976	SRR36108976.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93696924.0	4.7 Gbp	0.0	51.0	50.0	28.636819095264826	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108977	SRR36108977.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81924184.0	4.1 Gbp	0.0	51.0	50.0	31.91743902479879	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108978	SRR36108978.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83899530.0	4.2 Gbp	0.0	51.0	50.0	30.7875318757655	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108979	SRR36108979.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92895858.0	4.7 Gbp	0.0	51.0	50.0	31.436532267891582	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108980	SRR36108980.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78178854.0	3.9 Gbp	0.0	51.0	51.0	34.188890371117736	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108981	SRR36108981.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57734742.0	2.9 Gbp	0.0	51.0	51.0	38.170439669088054	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
SRR36108982	SRR36108982.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75200184.0	3.8 Gbp	0.0	51.0	50.0	32.7365979426902	51.0	51	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
