Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR36108971	66.60768561741239	51.0	51.0	51	9.090909090909092	69607880.0
SRR36108972	70.20080131941329	50.0	51.0	51	9.090909090909092	97959010.0
SRR36108973	68.2455427650644	51.0	51.0	51	9.090909090909092	91094136.0
SRR36108974	67.49550109427491	51.0	51.0	51	9.090909090909092	67749602.0
SRR36108976	71.36318090473517	50.0	51.0	51	9.090909090909092	93696924.0
SRR36108977	68.0825609752012	50.0	51.0	51	9.090909090909092	81924184.0
SRR36108978	69.2124681242345	50.0	51.0	51	9.090909090909092	83899530.0
SRR36108979	68.56346773210842	50.0	51.0	51	9.090909090909092	92895858.0
SRR36108980	65.81110962888226	51.0	51.0	51	9.090909090909092	78178854.0
SRR36108981	61.829560330911946	51.0	51.0	51	9.090909090909092	57734742.0
SRR36108982	67.2634020573098	50.0	51.0	51	9.090909090909092	75200184.0
